state,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50,Age,not,stated,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_Radio_Transistor,Households_with_Scooter_Motorcycle_Moped,Households_with_Telephone_Mobile_Phone_Landline_only,Households_with_Telephone_Mobile_Phone_Mobile_only,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both,Condition_of_occupied_census_houses_Dilapidated_Households,Households_with_separate_kitchen_Cooking_inside_house,Having_bathing_facility_Total_Households,Having_latrine_facility_within_the_premises_Total_Households,Ownership_Owned_Households,Ownership_Rented_Households,Type_of_bathing_facility_Enclosure_without_roof_Households,Type_of_fuel_used_for_cooking_Any_other_Households,Type_of_latrine_facility_Pit_latrine_Households,Type_of_latrine_facility_Other_latrine_Households,Type_of_latrine_facility_Night_soil_disposed_into_open_drain_Households,Type_of_latrine_facility_Flush_pour_flush_latrine_connected_to_other_system_Households,Not_having_bathing_facility_within_the_premises_Total_Households,Not_having_latrine_facility_within_the_premises_Alternative_source_Open_Households,Main_source_of_drinking_water_Un_covered_well_Households,Main_source_of_drinking_water_Handpump_Tubewell_Borewell_Households,Main_source_of_drinking_water_Spring_Households,Main_source_of_drinking_water_River_Canal_Households,Main_source_of_drinking_water_Other_sources_Households,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Location_of_drinking_water_source_Near_the_premises_Households,Location_of_drinking_water_source_Within_the_premises_Households,Main_source_of_drinking_water_Tank_Pond_Lake_Households,Main_source_of_drinking_water_Tapwater_Households,Main_source_of_drinking_water_Tubewell_Borehole_Households,Household_size_1_person_Households,Household_size_2_persons_Households,Household_size_1_to_2_persons,Household_size_3_persons_Households,Household_size_3_to_5_persons_Households,Household_size_4_persons_Households,Household_size_5_persons_Households,Household_size_6_8_persons_Households,Household_size_9_persons_and_above_Households,Location_of_drinking_water_source_Away_Households,Married_couples_1_Households,Married_couples_2_Households,Married_couples_3_Households,Married_couples_3_or_more_Households,Married_couples_4_Households,Married_couples_5__Households,Married_couples_None_Households,Power_Parity_Less_than_Rs_45000,Power_Parity_Rs_45000_90000,Power_Parity_Rs_90000_150000,Power_Parity_Rs_45000_150000,Power_Parity_Rs_150000_240000,Power_Parity_Rs_240000_330000,Power_Parity_Rs_150000_330000,Power_Parity_Rs_330000_425000,Power_Parity_Rs_425000_545000,Power_Parity_Rs_330000_545000,Power_Parity_Above_Rs_545000,Total_Power_Parity
JAMMU AND KASHMIR,318898,169124,149774,228139,130312,97827,91835,47920,43915,17573,9188,8385,92526,81952,10574,74129,18397,226372,16894,6105,1520,68007,275311,22950,2306,17961,48,16,6,300,34063,61159,992,4465,94247,19989,114236,29138,41233,59931,61407,30503,14055,2600,238867,65643,304510,177277,88246,53022,NaN,NaN,NaN,13653,4093,12466,17664,2587,43895,1936,47611,50736,4254,1863,47597,43562,20650,60716,1646,20487,53,1464,623,572,642,19255,41899,3488,25438,142,204,532,1498,13359,42707,620,32061,2009,1280,3983,5263,8509,40308,16413,15386,14876,2370,6751,45121,8450,1642,1948,263,43,7298,139,291,89,380,48,62,110,60,21,81,18,728
HIMACHAL PRADESH,84121,46249,37872,60699,36697,24002,14750,7433,7317,48746,23609,25137,56273,33863,22410,46782,9491,27848,32995,2537,944,19797,64732,448,485,249,18086,29,45,47,10740,17865,354,2563,44514,0,44514,9400,13749,11437,11140,7871,5118,713,59428,16944,76372,42360,26599,15075,NaN,NaN,NaN,190,2775,6453,857,923,12885,611,12925,16468,2660,194,16851,13902,13521,13926,4511,1452,2,1405,165,9,1016,5633,5715,42,130,282,174,561,1115,6083,11752,98,17996,86,2813,2912,5725,2817,9423,3672,2934,3758,629,1700,10752,2106,207,235,19,9,6442,21,52,44,96,15,6,21,8,13,21,23,181
PUNJAB,595527,317522,278005,359831,201999,157832,192001,101569,90432,0,0,0,209331,178163,31168,186434,22897,386196,60340,40460,5132,103399,112859,13100,622,467751,108,246,481,360,50276,108908,3501,10566,102577,54222,156799,49367,90971,66695,81545,43467,23657,4665,360367,212388,572755,322607,158413,114077,NaN,NaN,NaN,83685,12912,13098,49472,8035,60840,8179,86481,89207,20332,7043,105996,102344,93781,104428,6184,18394,59,45841,490,310,3265,9932,16042,40,45737,19,54,2200,2298,14226,94302,25,64117,39491,2727,6578,9305,12292,62748,25613,24843,31700,8523,3748,70622,24240,6128,7276,932,216,10138,79,299,335,634,224,145,369,171,274,445,128,1655
CHANDIGARH,1055450,580663,474787,805438,465346,340092,199086,106356,92730,0,0,0,404136,328159,75977,385929,18207,651314,2578,1687,4799,395072,852574,51447,8720,138329,1160,1960,246,1014,168344,231204,44283,78113,8911,289456,298367,80406,118667,114209,124707,98786,174528,20188,731491,184265,915756,602411,303748,148945,NaN,NaN,NaN,135055,60494,65936,109701,14027,148411,67323,193932,209783,47345,8256,226263,210801,206017,112043,110377,7208,263,1178,196,164,542,24260,7578,45,6167,36,12,1120,1372,27384,202495,204,227354,2001,15220,24396,39616,36024,144460,64040,44396,43001,7984,5182,162464,24076,4872,5667,676,119,42854,893,3631,7152,10783,4285,2444,6729,3382,4461,7843,7897,34145
UTTARAKHAND,1890422,1005295,885127,1178354,691411,486943,411274,217981,193293,6323,3385,2938,578121,497810,80311,495152,82969,1312301,93660,103115,19955,361391,1214935,648119,4878,17364,709,2501,46,1870,125717,279012,11947,35023,301828,186183,488011,245515,336790,243719,165003,114114,134182,29377,1268700,580970,1849670,1207120,435385,246229,NaN,NaN,NaN,210338,21893,37296,114469,12490,220399,23458,207894,250344,17455,13248,264573,265523,216744,278141,36245,64340,147,46682,4540,821,4665,59821,105217,156,188321,28,300,3940,4740,54977,246771,472,131667,12487,8322,20972,29294,32082,148342,56204,60056,113550,34158,23596,231515,50021,11751,14904,2535,618,28904,315,706,541,1247,130,163,293,154,80,234,81,2170
HARYANA,1042708,554497,488211,599796,379696,220100,203123,107741,95382,0,0,0,309563,241464,68099,216932,92631,733145,91506,60685,8566,148806,826342,208566,932,3971,345,915,20,1617,46498,132606,4283,16736,186069,63090,249159,125474,142156,113940,102626,65963,43780,8373,602312,393825,996137,684189,224043,133913,NaN,NaN,NaN,67580,10185,15928,55825,9969,101535,7884,93313,121222,9718,9455,142348,112618,74531,160239,5953,35447,39,7617,1729,1443,2743,55192,91359,4463,60655,33,28,5148,6137,43873,95524,928,95032,11507,2281,7953,10234,11985,71054,25760,33309,63475,23047,28413,109785,32682,11484,14535,2441,610,10808,104,516,429,945,365,205,570,219,342,561,117,2297
NCT OF DELHI,2731929,1467428,1264501,2078402,1185036,893366,422926,223199,199727,0,0,0,924393,775592,148801,869086,55307,1807536,2984,5908,25081,890420,2155759,445914,41880,69520,3862,11020,645,3329,504898,549402,111453,176435,2918,728145,731063,191659,368772,400595,430091,354078,458858,52503,2256556,328287,2584843,1588001,785085,355602,NaN,NaN,NaN,151260,121101,198605,204607,30607,391300,136051,481782,513042,91135,15995,542907,503279,487320,351710,181367,26544,179,6948,2682,2572,4649,50443,25388,50,142568,42,85,12625,17188,93230,421563,4436,393274,105327,24533,47925,72458,74615,314680,130422,109643,138146,28438,38929,389462,70764,16417,20097,3025,655,73399,578,1681,1903,3584,589,582,1171,482,567,1049,769,7151
RAJASTHAN,867848,437744,430104,401515,250122,151393,60429,30755,29674,550427,276742,273685,481294,251691,229603,327445,153849,386554,306419,96815,5516,72544,827293,25597,358,72,32,14077,27,392,17984,71612,716,5961,209813,24269,234082,142397,111276,70969,35206,21854,19109,2137,402948,488621,891569,545987,204801,115608,NaN,NaN,NaN,62048,2803,20596,31782,2318,72023,1433,37216,78345,4004,4259,169441,42404,20284,171300,5499,20699,90,348,518,280,458,135642,155582,45188,104251,712,1456,664,3756,95295,21922,924,23928,13099,5456,19446,24902,21840,91586,35231,34515,53867,7691,60829,130262,27706,4659,5519,723,137,14559,299,871,778,1649,151,114,265,134,217,351,265,2829
UTTAR PRADESH,1436719,764165,672554,724850,452803,272047,254299,135812,118487,150,80,70,472765,375213,97552,354257,118508,963954,229088,107094,22492,114091,1211427,213822,1969,2280,3907,313,72,2929,26849,50405,1623,13109,271234,72490,343724,256688,193410,150247,108558,61662,48079,4981,823625,648166,1471791,946320,301252,183434,NaN,NaN,NaN,142975,3854,38719,30712,5259,140962,2018,53987,149712,3491,18880,219883,108916,56717,227919,6530,68219,212,3723,7721,1244,2169,127580,177723,1072,169022,69,191,1084,1610,60760,158887,266,64018,2354,6889,15567,22456,18606,81947,27620,35721,92898,39195,16849,158354,39631,10860,14214,2599,755,24297,510,1061,666,1727,185,256,441,150,56,206,51,2935
BIHAR,700843,363497,337346,386351,235279,151072,141314,72885,68429,590,283,307,236354,167991,68363,161277,75077,464489,49127,144698,6758,35771,634099,64259,390,59,323,74,60,1579,4176,2203,413,6378,134334,9960,144294,123288,118311,80704,81975,48822,27945,1435,482480,290095,772575,444448,156031,98550,NaN,NaN,NaN,55439,1386,35782,7667,1883,60636,360,11482,63570,1051,9033,112002,51433,27875,116189,943,41524,1560,2449,774,227,1859,66370,88764,2380,111974,7,46,1087,1207,28154,83287,67,1659,159,2263,8041,10304,9825,46359,16388,20146,43242,17898,6362,72909,25292,8095,11654,2549,1010,7948,149,265,126,391,68,4,72,5,6,11,0,621
